top RBM	top RBM (lin)	top PWM	Ratio Mt/Mb
0.3475	0.4925	0.52	0.0001
0.55	0.42000000000000004	0.4375	0.0001
0.5775	0.6074999999999999	0.605	0.0001
0.485	0.6	0.5900000000000001	0.0001
0.48	0.43	0.535	0.0001
0.465	0.5900000000000001	0.5974999999999999	0.0001
0.5499999999999999	0.4925	0.4375	0.0001
0.43	0.2875	0.6799999999999999	0.0001
0.68	0.5675	0.4625	0.0001
0.595	0.61	0.575	0.0001
0.615	0.375	0.49999999999999994	0.0001
0.40499999999999997	0.48	0.42250000000000004	0.0001
0.39749999999999996	0.40499999999999997	0.5375000000000001	0.0001
0.5549999999999999	0.43499999999999994	0.59	0.0001
0.54	0.40249999999999997	0.56	0.0001
0.45249999999999996	0.5475	0.4525	0.0001
0.6	0.5575000000000001	0.365	0.0001
0.48250000000000004	0.6900000000000001	0.5449999999999999	0.0001
0.39749999999999996	0.5025	0.405	0.0001
0.45999999999999996	0.5599999999999999	0.56	0.0001
0.465	0.4625	0.5275	0.0001
0.63	0.6174999999999999	0.5925	0.0001
0.5575	0.3925	0.4675	0.0001
0.61	0.39	0.4525	0.0001
0.6575	0.5574999999999999	0.525	0.0001
0.5549999999999999	0.645	0.505	0.0001
0.605	0.49	0.5325	0.0001
0.4724999999999999	0.5249999999999999	0.43	0.0001
0.45	0.3525	0.5874999999999999	0.0001
0.555	0.54	0.5700000000000001	0.0001
0.5725	0.5750000000000001	0.46499999999999997	0.0001
0.53	0.565	0.47	0.0001
0.64	0.525	0.4275	0.0001
0.5549999999999999	0.47	0.4775	0.0001
0.51	0.585	0.6625000000000001	0.0001
0.6875	0.5325	0.5825	0.0001
0.315	0.39	0.47	0.0001
0.575	0.6775	0.425	0.0001
0.72	0.485	0.71	0.0001
0.43	0.4575	0.48749999999999993	0.0001
0.685	0.6475	0.5275	0.0001
0.49750000000000005	0.46749999999999997	0.5425	0.0001
0.605	0.6175	0.47000000000000003	0.0001
0.4525	0.47	0.61	0.0001
0.6275	0.695	0.4875	0.0001
