J_gene,RBM_VU_id
TRBJ1-6,0
TRBJ1-3,1
TRBJ2-6,2
TRBJ1-2,3
TRBJ2-2,4
TRBJ2-3,5
TRBJ2-1,6
TRBJ2-7,7
TRBJ2-5,8
TRBJ2-4,9
TRBJ1-4,10
TRBJ1-5,11
TRBJ1-1,12
