top RBM	diffRBM	top RBM (lin)	diffRBM (lin)	top PWM	diffPWM	Normal RBM	RBMback	PWMback
0.7338703568091716	0.639655564253428	0.7055251130021971	0.5546577106638721	0.7776066260953007	0.533446125097851	0.6540996439483852	0.38001565617029875	0.3804449382591349
0.7494507714451655	0.640968662407515	0.6869776015757179	0.5792783010530037	0.7590212368374536	0.5697835913234515	0.6532410797707129	0.4084240296962197	0.40248983611524963
0.7608898765182697	0.6569026034696094	0.6233175929900759	0.5655412742102471	0.7627585161990859	0.508977046034191	0.6614984470089138	0.38521754501148964	0.3556980884321103
0.7312441605009974	0.6855382439837379	0.5588747758894977	0.6525340269185121	0.7013964293830963	0.5978131865356935	0.6923562536299588	0.4718315194060756	0.460291406782657
0.7458650034090049	0.6691245170576501	0.6713719350521451	0.5852629984091311	0.7317239463649907	0.5289512891088608	0.6576349082093886	0.4251281533294614	0.3847882629226534
0.7573546122572663	0.645160475745562	0.6412211812833009	0.5314764778667206	0.7479104063028712	0.5446832150703266	0.6586197318249539	0.3891568394737506	0.39892931996666753
0.7532385545819551	0.681649453296634	0.6648064442817101	0.592712305244817	0.7434408222014597	0.5933183505467035	0.7013964293830963	0.4387262947905356	0.4510744678164692
0.7631372945127649	0.6664983207494761	0.6198328325042297	0.6037221282290851	0.7516981894396606	0.5585212494633975	0.6886947299310624	0.44375142041867627	0.42337314714274893
0.8114694073381985	0.7062952955733441	0.6726471553748643	0.619252039089922	0.7500568167470519	0.5546072068887149	0.7163202949420469	0.4307088204843311	0.3973889548243731
0.7548546753869853	0.6484432211307796	0.6450847200828262	0.5962475695058206	0.7565718037423297	0.5421580263124668	0.6553874902148935	0.4249387641726219	0.39243958485896824
0.7245019065175122	0.6110199237392995	0.6802353475922325	0.521123203959496	0.7458397515214262	0.5138506603368602	0.6384687255372339	0.37833640564632204	0.3901164112017373
0.7772783515567789	0.6649579556071816	0.69071488093735	0.5497840963612031	0.7597030378020757	0.5769803792833514	0.6657281381783289	0.38908108381101486	0.4282720133329966
0.7546021565111993	0.6626095300623722	0.677078861644908	0.6021817630867907	0.780763112042625	0.5388247771520921	0.6556400090906795	0.4195348602308023	0.3724400898967198
0.7860912603217092	0.6700588368980582	0.6478624277164718	0.5934446099845965	0.7473548647761421	0.5940506552864826	0.6833665816519785	0.4250397717229363	0.4348122522158531
0.7634150652761293	0.6284437261685312	0.6802353475922326	0.570995681927224	0.7645514002171663	0.5145829650766395	0.6397565718037423	0.38665690260346963	0.3687280624226661
0.7709401277745511	0.6397060680285852	0.6426857907628596	0.5427388197267746	0.776520794929421	0.532511805257443	0.6457665210474484	0.36822302467109413	0.37201080780788365
