repl_id,k,validation_AUC,test_AUC
0,5,0.6861629163205804,0.6817316749184881
0,6,0.693568375623665,0.6855452240067624
0,7,0.6975785623873051,0.6871766694843617
0,8,0.6947982040720565,0.6896341021615746
0,9,0.6933867394220564,0.6908048544861731
0,10,0.6946033235640805,0.6924248279193335
0,11,0.6942684318173649,0.6931499818862457
0,12,0.6975605879715209,0.6930026566839753
0,13,0.6969144550251737,0.6942736384494627
0,14,0.6976372157440747,0.6951684579157107
0,15,0.6999114523517159,0.6962214708368554
0,16,0.7012264227696116,0.6968198285231252
0,17,0.7033842986855972,0.6980739041178603
0,18,0.7030863017923331,0.6992905446202149
0,19,0.7033890287950141,0.6991220867045042
0,20,0.7031657676305367,0.699781427363845
0,21,0.70330388682551,0.7001237773215795
0,22,0.7022036633751412,0.7002541963530975
0,23,0.701202772222527,0.7005367709213863
0,24,0.7014988770720245,0.7018554522400677
0,25,0.7015641525819776,0.7020788552107233
0,26,0.7012207466383112,0.702410940707644
0,27,0.7008338236880095,0.7032459847844464
0,28,0.7006417812456837,0.7043726603067262
0,29,0.7005367728166288,0.7048556937567926
0,30,0.7004204121249733,0.7048925250573602
0,31,0.7001328214724263,0.7051334379905808
0,32,0.6995273674670642,0.7050483033450067
0,33,0.6991338223635789,0.7047820311556575
0,34,0.6983722747474594,0.7040230648472408
0,35,0.6980591415040611,0.7036704504286921
0,36,0.6978472326021846,0.7031505856780582
0,37,0.6980752238760787,0.7037851708730829
0,38,0.6981840163926673,0.7030358652336673
0,39,0.6983807889444098,0.7028112546793865
0,40,0.6984460644543631,0.7030938292476755
0,41,0.6976457299410248,0.703389687235841
0,42,0.6975236931180692,0.7044100953991065
0,43,0.6971112275769163,0.7045447409733124
0,44,0.6964887451776535,0.7042790725757758
0,45,0.6961831801093223,0.7044620214949885
0,46,0.696367654376581,0.704160125588697
0,47,0.6961519613871707,0.7037652457432677
0,48,0.6955928624540942,0.7041752203840115
0,49,0.6963648163109308,0.7042506943605845
0,50,0.69613493299327,0.7040997464074388
1,5,0.6860143908848899,0.6814370245139476
1,6,0.6837656968681,0.6865451032483999
1,7,0.6835821686227246,0.6892029948073904
1,8,0.6829757685954791,0.6902511773940345
1,9,0.6835736544257742,0.6918741697862577
1,10,0.6822435476577444,0.6927834802560078
1,11,0.6833257966923291,0.6934971621784809
1,12,0.6842368157660224,0.6926995531940586
1,13,0.6838111059185021,0.6936801110976936
1,14,0.6831678110378049,0.694010989010989
1,15,0.6824289679468866,0.6949251298152397
1,16,0.6836587963952784,0.6951606086221471
1,17,0.6835036488064042,0.6943466972587854
1,18,0.6839444950040584,0.6941981644728897
1,19,0.6848507839683348,0.6933190435937688
1,20,0.6838754354065719,0.6933468180171476
1,21,0.6833636375676642,0.6922092742422412
1,22,0.6829540100921614,0.6929730708851587
1,23,0.682157459666357,0.6922533510445599
1,24,0.6818916275171277,0.6923783359497645
1,25,0.6806267962590511,0.6921953870305518
1,26,0.6797034789008739,0.6928559352735175
1,27,0.6794707575175629,0.6935285593527352
1,28,0.6782910682289902,0.6931904359376888
1,29,0.6780290201672945,0.692708006279435
1,30,0.6783421534106927,0.6925467938654751
1,31,0.6792399281780186,0.6927647627098177
1,32,0.6794792717145133,0.6920607414563459
1,33,0.6794471069704784,0.6918699432435698
1,34,0.6801651375799624,0.6916290303103491
1,35,0.6801197285295604,0.6910819949281488
1,36,0.6810061510342856,0.6916380871875376
1,37,0.6804602964075764,0.6917751479289941
1,38,0.680219060827315,0.6916670691945418
1,39,0.6804442140355591,0.6913947590870668
1,40,0.680001475794138,0.6911761864509117
1,41,0.6788293546806324,0.6910137664533269
1,42,0.6780630769550962,0.6908604033329309
1,43,0.6771057028091173,0.6904691462383771
1,44,0.6764813283660878,0.6908187416978627
1,45,0.6758578999449415,0.6905174495833837
1,46,0.6763536154118317,0.6905126192488831
1,47,0.6763555074555985,0.6913941552952542
1,48,0.6764879505192714,0.6917522038401159
1,49,0.6763838881120997,0.6916821639898564
1,50,0.6761663030789229,0.6917672986354305
2,5,0.674020725447421,0.6777538944571911
2,6,0.6763763199370327,0.6812136215432918
2,7,0.6833352569111628,0.68109165559715
2,8,0.6876188439990994,0.681411665257819
2,9,0.6899753845105945,0.6811949039971017
2,10,0.692787907569878,0.6807800990218572
2,11,0.6928635893205483,0.6808815360463711
2,12,0.6954500131497042,0.681730467334863
2,13,0.6958918053692418,0.6835816930322425
2,14,0.6956288112856628,0.6853604637121121
2,15,0.6985236382488,0.6865885762589059
2,16,0.6984905274828818,0.6884609346697259
2,17,0.6995538560797987,0.689839391377853
2,18,0.7007666561342896,0.6909624441492573
2,19,0.7015263117066424,0.6913663808718754
2,20,0.701948237466629,0.6928710300688322
2,21,0.7027788446802351,0.6940743871513103
2,22,0.7033019947817433,0.6940321217244293
2,23,0.7032632078845246,0.6952167612607173
2,24,0.7038752840430704,0.6954842410336917
2,25,0.7046198032652891,0.6959407076440043
2,26,0.7054210838005106,0.6960306726240791
2,27,0.7056878619716231,0.6960125588697016
2,28,0.7065109010101622,0.6957299843014129
2,29,0.7063103443708859,0.6963633619128126
2,30,0.7069347188139155,0.6962281125467938
2,31,0.706973505711134,0.6979622026325323
2,32,0.7073907013617038,0.6984826711749789
2,33,0.707105948774807,0.6988751358531579
2,34,0.7066490202051354,0.6987392826953266
2,35,0.7058969328078497,0.6986209395000603
2,36,0.7051117346446457,0.6986058447047458
2,37,0.7043170762626081,0.6991722014249487
2,38,0.7034098412764483,0.6992887332447772
2,39,0.7024694955243704,0.6994891921265549
2,40,0.702635995375845,0.6992682043231494
2,41,0.7027533020893839,0.6989910638811738
2,42,0.7027305975641829,0.6993720565149137
2,43,0.7026180209600609,0.6994620214949885
2,44,0.7029396684004093,0.6998901098901099
2,45,0.7031572534335864,0.6997029344282091
2,46,0.7030957620111666,0.699701726844584
2,47,0.7034221395609321,0.6995121362154328
2,48,0.703716352366663,0.6990472165197439
2,49,0.7038847442619042,0.6992072213500785
2,50,0.7046538600530908,0.6987839632894577
3,5,0.6709783190704767,0.6610825987199613
3,6,0.6743594012816705,0.6599033933099866
3,7,0.6766714787646467,0.663595580243932
3,8,0.679333584344473,0.6651074749426399
3,9,0.6805776031211154,0.6656315662359619
3,10,0.6807564012570739,0.667541359739162
3,11,0.6839321967195745,0.671607293805096
3,12,0.6871098842258418,0.6760276536650162
3,13,0.687830752900976,0.675065209515759
3,14,0.6892185670038918,0.6757982127762348
3,15,0.6882384883327121,0.6763210964859316
3,16,0.6882394343545953,0.6778740490278953
3,17,0.6888808371915258,0.6788008694602101
3,18,0.6880426618028528,0.6806291510687115
3,19,0.6887550162810367,0.684271827074025
3,20,0.6879130568048301,0.684396208187417
3,21,0.6885951385827457,0.6845791571066296
3,22,0.6876301962616999,0.6855373747131989
3,23,0.6885222948977254,0.6864841202753289
3,24,0.6881779429321758,0.6857348146359136
3,25,0.6885166187664252,0.6858676488346818
3,26,0.6890407148898169,0.6860807873445236
3,27,0.6895458905755408,0.6865988407197199
3,28,0.6893822287897163,0.6856804733727812
3,29,0.689296140798329,0.6846244414925734
3,30,0.6884674256284895,0.6842923559956527
3,31,0.6875961394738985,0.6836396570462505
3,32,0.686549839270882,0.683559352735177
3,33,0.6857608570201447,0.6831348870909311
3,34,0.6851809456056337,0.6837296220263254
3,35,0.6844572388648494,0.6837326409853883
3,36,0.6838186740935692,0.6839874411302983
3,37,0.6831290241405865,0.6841124260355028
3,38,0.6828858965165583,0.6834096123656562
3,39,0.6831242940311695,0.6836396570462505
3,40,0.6835339215066722,0.683687960391257
3,41,0.6834383732964511,0.6831397174254318
3,42,0.683528245375372,0.6837145272310107
3,43,0.683088345199601,0.6841015577828765
3,44,0.6833948562898157,0.6844203598599202
3,45,0.6832028138474899,0.683774906412269
3,46,0.6834033704867661,0.6838292476754014
3,47,0.683420398880667,0.6835400313971742
3,48,0.6837373162115986,0.6835804854486173
3,49,0.6837155577082809,0.683828643883589
3,50,0.683338094976813,0.6839089481946624
4,5,0.6937727163504747,0.6688461538461539
4,6,0.6977961474204821,0.6668053375196232
4,7,0.69915936495443,0.6696202149498852
4,8,0.7016975416675338,0.6716235961840358
4,9,0.7007278692370711,0.6744270015698588
4,10,0.7031629295648866,0.67614539306847
4,11,0.7050095642812408,0.679120879120879
4,12,0.7061211399942103,0.679574326772129
